hanzi_sc,hanzi_trad,pinyin,pinyin_style2,level,level_zh,cc_cedict_definitions,Group
数,數,shù,shu4,2,初等|二级,(literary) frequently; repeatedly,Group 7
座,座,zuò,zuo4,2,初等|二级,"seat/base/stand/(archaic) suffix used in a respectful form of address, e.g. 师座|师座[shi1 zuo4]/CL:個|个[ge4]/classifier for buildings, mountains and similar immovable objects",Group 7
市,市,shì,shi4,2,初等|二级,market/city/CL:個|个[ge4],Group 8
换,換,huàn,huan4,2,初等|二级,to exchange/to change (clothes etc)/to substitute/to switch/to convert (currency),Group 8
银,銀,yín,yin2,2,初等|二级,silver/silver-colored/relating to money or currency,Group 8
句,句,jù,ju4,2,初等|二级,sentence/clause/phrase/classifier for phrases or lines of verse,Group 8
际,際,jì,ji4,2,初等|二级,border/edge/boundary/interval/between/inter-/to meet/time/occasion/to meet with (circumstances),Group 8
靠,靠,kào,kao4,2,初等|二级,to lean against or on/to stand by the side of/to come near to/to depend on/to trust/to fuck (vulgar)/traditional military costume drama where the performers wear armor (old),Group 8
称,稱,chēng,cheng1,2,初等|二级,variant of 秤[cheng4]/steelyard,Group 8
选,選,xuǎn,xuan3,2,初等|二级,to choose/to pick/to select/to elect,Group 8
提,提,tí,ti2,2,初等|二级,to carry (hanging down from the hand)/to lift/to put forward/to mention/to raise (an issue)/upwards character stroke/lifting brush stroke (in painting)/scoop for measuring liquid,Group 8
末,末,mò,mo4,2,初等|二级,tip/end/final stage/latter part/inessential detail/powder/dust/opera role of old man,Group 8
检,檢,jiǎn,jian3,2,初等|二级,to check/to examine/to inspect/to exercise restraint,Group 8
查,查,chá,cha2,2,初等|二级,variant of 楂[zha1],Group 8
故,故,gù,gu4,2,初等|二级,"happening/instance/reason/cause/intentional/former/old/friend/therefore/hence/(of people) to die, dead",Group 8
脸,臉,liǎn,lian3,2,初等|二级,"face/CL:張|张[zhang1],個|个[ge4]",Group 8
往,往,wǎng,wang3,2,初等|二级,old variant of 往[wang3],Group 9
掉,掉,diào,diao4,2,初等|二级,"to fall/to drop/to lag behind/to lose/to go missing/to reduce/fall (in prices)/to lose (value, weight etc)/to wag/to swing/to turn/to change/to exchange/to swap/to show off/to shed (hair)/(used after certain verbs to express completion, fulfillment, removal etc)",Group 9
黑,黑,hēi,hei1,2,初等|二级,black/dark/sinister/secret/shady/illegal/to hide (sth) away/to vilify/(loanword) to hack (computing),Group 9
度,度,dù,du4,2,初等|二级,to estimate/Taiwan pr. [duo4],Group 9
收,收,shōu,shou1,2,初等|二级,to receive/to accept/to collect/to put away/to restrain/to stop/in care of (used on address line after name),Group 9
省,省,shěng,sheng3,2,初等|二级,(bound form) to scrutinize/(bound form) to reflect (on one's conduct)/(bound form) to come to realize/(bound form) to pay a visit (to one's parents or elders),Group 9
海,海,hǎi,hai3,2,初等|二级,"ocean/sea/CL:個|个[ge4],片[pian4]/great number of people or things/(dialect) numerous",Group 9
愿,愿願,yuàn,yuan4,2,初等|二级,(bound form) wish; hope; desire/to be willing/to wish (that sth may happen); may .../vow; pledge,Group 9
意,意,yì,yi4,2,初等|二级,idea/meaning/thought/to think/wish/desire/intention/to expect/to anticipate,Group 9
实,實,shí,shi2,2,初等|二级,real/true/honest/really/solid/fruit/seed/definitely,Group 9
超,超,chāo,chao1,2,初等|二级,to exceed/to overtake/to surpass/to transcend/to pass/to cross/ultra-/super-,Group 9
健,健,jiàn,jian4,2,初等|二级,healthy/to invigorate/to strengthen/to be good at/to be strong in,Group 9
康,康,kāng,kang1,2,初等|二级,healthy/peaceful/abundant,Group 9
眼,眼,yǎn,yan3,2,初等|二级,"eye/small hole/crux (of a matter)/CL:隻|只[zhi1],雙|双[shuang1]/classifier for big hollow things (wells, stoves, pots etc)",Group 9
清,清,qīng,qing1,2,初等|二级,(of water etc) clear; clean/quiet; still/pure; uncorrupted/clear; distinct/to clear; to settle (accounts),Group 10
楚,楚,chǔ,chu3,2,初等|二级,distinct/clear/orderly/pain/suffering/deciduous bush used in Chinese medicine (genus Vitex)/punishment cane (old),Group 10
倒,倒,dào,dao4,2,初等|二级,to invert; to place upside down or frontside back/to pour out/to tip out; to dump/inverted; upside down; reversed/to go backward/contrary to what one might expect; but; yet,Group 10
装,裝,zhuāng,zhuang1,2,初等|二级,adornment/to adorn/dress/clothing/costume (of an actor in a play)/to play a role/to pretend/to install/to fix/to wrap (sth in a bag)/to load/to pack,Group 10
停,停,tíng,ting2,2,初等|二级,to stop/to halt/to park (a car),Group 10
亿,億,yì,yi4,2,初等|二级,100 million,Group 10
留,留,liú,liu2,2,初等|二级,old variant of 留[liu2],Group 10
算,算,suàn,suan4,2,初等|二级,to regard as/to figure/to calculate/to compute,Group 10
声,聲,shēng,sheng1,2,初等|二级,sound/voice/tone/noise/reputation/classifier for sounds,Group 10
照,照,zhào,zhao4,2,初等|二级,according to/in accordance with/to shine/to illuminate/to reflect/to look at (one's reflection)/to take (a photo)/photo/as requested/as before,Group 10
广,广廣,guǎng,guang3,2,初等|二级,wide/numerous/to spread,Group 10
永,永,yǒng,yong3,2,初等|二级,forever/always/perpetual,Group 10
层,層,céng,ceng2,2,初等|二级,to pile on top of one another/layer; stratum/floor (of a building); story/(math.) sheaf/classifier for layers,Group 10
平,平,píng,ping2,2,初等|二级,flat/level/equal/to tie (make the same score)/to draw (score)/calm/peaceful/abbr. for 平聲|平声[ping2 sheng1],Group 10
药,葯藥,yào,yao4,2,初等|二级,"medicine/drug/substance used for a specific purpose (e.g. poisoning, explosion, fermenting)/CL:種|种[zhong3],服[fu4],味[wei4]/to poison",Group 10
级,級,jí,ji2,2,初等|二级,"level/grade/rank/step (of stairs)/CL:個|个[ge4]/classifier: step, level",Group 10
狗,狗,gǒu,gou3,2,初等|二级,"dog/CL:隻|只[zhi1],條|条[tiao2]",Group 10
节,節,jié,jie2,2,初等|二级,"joint; node/(bound form) section; segment/solar term (one of the 24 divisions of the year in the traditional Chinese calendar)/seasonal festival/(bound form) to economize; to save/(bound form) moral integrity; chastity/classifier for segments: lessons, train wagons, biblical verses etc/knot (nautical miles per hour)",Group 10
目,目,mù,mu4,2,初等|二级,eye/(literary) to look; to regard/eye (of a net); mesh/mesh size; grit size (abbr. for 目數|目数[mu4 shu4])/item; section/list; catalogue/(taxonomy) order/name; title,Group 10
睛,睛,jīng,jing1,2,初等|二级,eye; eyeball,Group 10
满,滿,mǎn,man3,2,初等|二级,to fill/full/filled/packed/fully/completely/quite/to reach the limit/to satisfy/satisfied/contented,Group 11
酒,酒,jiǔ,jiu3,2,初等|二级,"wine (esp. rice wine)/liquor/spirits/alcoholic beverage/CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]",Group 11
迎,迎,yíng,ying2,2,初等|二级,to welcome; to meet/to forge ahead (esp. in the face of difficulties); to meet face to face,Group 11
举,舉,jǔ,ju3,2,初等|二级,to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect/act/move/deed,Group 11
科,科,kē,ke1,2,初等|二级,branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes etc)/to fine sb/CL:個|个[ge4],Group 11
占,占,zhàn,zhan4,2,初等|二级,to take possession of/to occupy/to take up,Group 11
排,排,pái,pai2,2,初等|二级,"a row/a line/to set in order/to arrange/to line up/to eliminate/to drain/to push open/platoon/raft/classifier for lines, rows etc",Group 11
轻,輕,qīng,qing1,2,初等|二级,light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/to disparage,Group 11
讨,討,tǎo,tao3,2,初等|二级,to invite/to provoke/to demand or ask for/to send armed forces to suppress/to denounce or condemn/to marry (a woman)/to discuss or study,Group 11
论,論,lùn,lun4,2,初等|二级,"opinion/view/theory/doctrine/to discuss/to talk about/to regard/to consider/per/by the (kilometer, hour etc)",Group 11
挺,挺,tǐng,ting3,2,初等|二级,straight/erect/to stick out (a part of the body)/to (physically) straighten up/to support/to withstand/outstanding/(coll.) quite/very/classifier for machine guns,Group 11
由,由,yóu,you2,2,初等|二级,to follow/from/because of; due to/by; via; through/(before a noun and a verb) it is for ... to ...,Group 11
运,運,yùn,yun4,2,初等|二级,to move/to transport/to use/to apply/fortune/luck/fate,Group 11
怕,怕,pà,pa4,2,初等|二级,to be afraid/to fear/to dread/to be unable to endure/perhaps,Group 11
脚,腳,jiǎo,jiao3,2,初等|二级,role (variant of 角[jue2]),Group 11
普,普,pǔ,pu3,2,初等|二级,general/popular/everywhere/universal,Group 11
取,取,qǔ,qu3,2,初等|二级,to take/to get/to choose/to fetch,Group 11
笔,筆,bǐ,bi3,2,初等|二级,"pen/pencil/writing brush/to write or compose/the strokes of Chinese characters/classifier for sums of money, deals/CL:支[zhi1],枝[zhi1]",Group 11
油,油,yóu,you2,2,初等|二级,"oil/fat/grease/petroleum/to apply tung oil, paint or varnish/oily/greasy/glib/cunning",Group 11
漂,漂,piāo,piao1,2,初等|二级,elegant/polished,Group 12
亮,亮,liàng,liang4,2,初等|二级,bright/clear/resonant/to shine/to show/to reveal,Group 12
夜,夜,yè,ye4,2,初等|二级,night,Group 12
画,畫,huà,hua4,2,初等|二级,"to draw; to paint/picture; painting (CL:幅[fu2],張|张[zhang1])/to draw (a line) (variant of 劃|划[hua4])/stroke of a Chinese character (variant of 劃|划[hua4])/(calligraphy) horizontal stroke (variant of 劃|划[hua4])",Group 12
室,室,shì,shi4,2,初等|二级,room/work unit/grave/scabbard/family or clan/one of the 28 constellations of Chinese astronomy,Group 12
哭,哭,kū,ku1,2,初等|二级,to cry; to weep,Group 12
惯,慣,guàn,guan4,2,初等|二级,accustomed to/used to/indulge/to spoil (a child),Group 12
单,單,dān,dan1,2,初等|二级,bill/list/form/single/only/sole/odd number/CL:個|个[ge4],Group 12
绩,績,jì,ji4,2,初等|二级,to spin (hemp etc)/merit/accomplishment/Taiwan pr. [ji1],Group 12
推,推,tuī,tui1,2,初等|二级,to push/to cut/to refuse/to reject/to decline/to shirk (responsibility)/to put off/to delay/to push forward/to nominate/to elect/massage,Group 12
流,流,liú,liu2,2,初等|二级,"to flow/to disseminate/to circulate or spread/to move or drift/to degenerate/to banish or send into exile/stream of water or sth resembling one/class, rate or grade",Group 12
懂,懂,dǒng,dong3,2,初等|二级,to understand/to comprehend,Group 12
街,街,jiē,jie1,2,初等|二级,street/CL:條|条[tiao2],Group 12
鱼,魚,yú,yu2,2,初等|二级,"fish/CL:條|条[tiao2],尾[wei3]",Group 13
量,量,liàng,liang4,2,初等|二级,"capacity/quantity/amount/to estimate/abbr. for 量詞|量词[liang4 ci2], classifier (in Chinese grammar)/measure word",Group 13
态,態,tài,tai4,2,初等|二级,(bound form)/appearance/shape/form/state/attitude/(grammar) voice,Group 13
猫,貓,māo,mao1,2,初等|二级,cat/CL:隻|只[zhi1]/(dialect) to hide oneself/(coll.) modem,Group 13
确,確,què,que4,2,初等|二级,authenticated/solid/firm/real/true,Group 13
蓝,藍,lán,lan2,2,初等|二级,blue/indigo plant,Group 13
思,思,sī,si1,2,初等|二级,to think/to consider,Group 13
篇,篇,piān,pian1,2,初等|二级,"sheet/piece of writing/bound set of bamboo slips used for record keeping (old)/classifier for written items: chapter, article",Group 13
封,封,fēng,feng1,2,初等|二级,"to confer/to grant/to bestow a title/to seal/classifier for sealed objects, esp. letters",Group 13
黄,黃,huáng,huang2,2,初等|二级,yellow/pornographic/to fall through,Group 13
旅,旅,lǚ,lv3,2,初等|二级,trip/travel/to travel/brigade (army),Group 13
游,游遊,yóu,you2,2,初等|二级,to walk/to tour/to roam/to travel,Group 13
弄,弄,nòng,nong4,2,初等|二级,variant of 弄[long4],Group 14
嘴,嘴,zuǐ,zui3,2,初等|二级,"mouth/beak/nozzle/spout (of teapot etc)/CL:張|张[zhang1],個|个[ge4]",Group 14
船,船,chuán,chuan2,2,初等|二级,"boat/vessel/ship/CL:條|条[tiao2],艘[sou1],隻|只[zhi1]",Group 14
腿,骽腿,tuǐ,tui3,2,初等|二级,hip bone/old variant of 腿[tui3],Group 14
借,借,jiè,jie4,2,初等|二级,variant of 借[jie4],Group 14
顺,順,shùn,shun4,2,初等|二级,to obey/to follow/to arrange/to make reasonable/along/favorable,Group 14
利,利,lì,li4,2,初等|二级,sharp/favorable/advantage/benefit/profit/interest/to do good to/to benefit,Group 14
言,言,yán,yan2,2,初等|二级,words/speech/to say/to talk,Group 14
物,物,wù,wu4,2,初等|二级,thing/object/matter/abbr. for physics 物理,Group 14
英,英,yīng,ying1,2,初等|二级,hero/outstanding/excellent/(literary) flower/blossom,Group 14
纸,紙,zhǐ,zhi3,2,初等|二级,"paper/CL:張|张[zhang1],沓[da2]/classifier for documents, letter etc",Group 14
背,背,bèi,bei4,2,初等|二级,the back of a body or object/to turn one's back/to hide something from/to learn by heart/to recite from memory/unlucky (slang)/hard of hearing,Group 14
雪,雪,xuě,xue3,2,初等|二级,snow/CL:場|场[chang2]/(literary) to wipe away (a humiliation etc),Group 15
便,便,biàn,bian4,2,初等|二级,used in 便宜|便宜[pian2 yi5]/used in 便便[pian2 pian2]/used in 便嬛[pian2 xuan1],Group 15
遍,遍,biàn,bian4,2,初等|二级,everywhere/all over/classifier for actions: one time,Group 15
词,詞,cí,ci2,2,初等|二级,"word/statement/speech/lyrics/CL:組|组[zu3],個|个[ge4]/a form of lyric poetry, flourishing in the Song dynasty 宋朝|宋朝[Song4 chao2]/CL:首[shou3]",Group 15
理,理,lǐ,li3,2,初等|二级,texture/grain (of wood)/inner essence/intrinsic order/reason/logic/truth/science/natural science (esp. physics)/to manage/to pay attention to/to run (affairs)/to handle/to put in order/to tidy up,Group 15
角,角,jiǎo,jiao3,2,初等|二级,role (theater)/to compete/ancient three legged wine vessel/third note of pentatonic scale,Group 15
养,養,yǎng,yang3,2,初等|二级,to raise (animals)/to bring up (children)/to keep (pets)/to support/to give birth,Group 15
鞋,鞋,xié,xie2,2,初等|二级,variant of 鞋[xie2],Group 15
急,急,jí,ji2,2,初等|二级,urgent/pressing/rapid/hurried/worried/to make (sb) anxious,Group 15
瓶,瓶,píng,ping2,2,初等|二级,variant of 瓶[ping2],Group 15
观,觀,guān,guan1,2,初等|二级,Taoist monastery/palace gate watchtower/platform,Group 16
鸟,鳥,niǎo,niao3,2,初等|二级,"bird/CL:隻|只[zhi1],群[qun2]/""bird"" radical in Chinese characters (Kangxi radical 196)/(dialect) to pay attention to/(intensifier) damned/goddamn",Group 16
墙,牆,qiáng,qiang2,2,初等|二级,"wall/CL:面[mian4],堵[du3]",Group 16
颜,顏顔,yán,yan2,2,初等|二级,Japanese variant of 顏|颜[yan2],Group 16
色,色,sè,se4,2,初等|二级,(coll.) color/used in 色子[shai3 zi5],Group 16
阳,陽,yáng,yang2,2,初等|二级,"positive (electric.)/sun/male principle (Taoism)/Yang, opposite: 陰|阴[yin1]",Group 16
顾,顧,gù,gu4,2,初等|二级,to look after; to take into consideration; to attend to,Group 16
咱,咱,zán,zan2,2,初等|二级,variant of 咱[zan2],Group 16
河,河,hé,he2,2,初等|二级,"river/CL:條|条[tiao2],道[dao4]",Group 16
报,報,bào,bao4,2,初等|二级,"to announce/to inform/report/newspaper/recompense/revenge/CL:份[fen4],張|张[zhang1]",Group 16
味,味,wèi,wei4,2,初等|二级,taste/smell/(fig.) (noun suffix) feel/quality/sense/(TCM) classifier for ingredients of a medicine prescription,Group 17
租,租,zū,zu1,2,初等|二级,to hire/to rent/to charter/to rent out/to lease out/rent/land tax,Group 17
喊,喊,hǎn,han3,2,初等|二级,to yell/to shout/to call out for (a person),Group 17
灯,燈,dēng,deng1,2,初等|二级,lamp/light/lantern/CL:盞|盏[zhan3],Group 17
空,空,kōng,kong1,2,初等|二级,to empty/vacant/unoccupied/space/leisure/free time,Group 17
青,青,qīng,qing1,2,初等|二级,green/blue/black/youth/young (of people),Group 17
吹,吹,chuī,chui1,2,初等|二级,to blow/to play a wind instrument/to blast/to puff/to boast/to brag/to end in failure/to fall through,Group 17
园,園,yuán,yuan2,2,初等|二级,"land used for growing plants/site used for public recreation/abbr. for a place ending in 園|园, such as a botanical garden 植物園|植物园, kindergarten 幼兒園|幼儿园 etc",Group 17
绿,綠,lǜ,lv4,2,初等|二级,green/(slang) (derived from 綠帽子|绿帽子[lu:4 mao4 zi5]) to cheat on (one's spouse or boyfriend or girlfriend),Group 17
练,練,liàn,lian4,2,初等|二级,to practice/to train/to drill/to perfect (one's skill)/exercise/(literary) white silk/to boil and scour raw silk,Group 17
食,食,shí,shi2,2,初等|二级,to feed (a person or animal),Group 18
合,合,hé,he2,2,初等|二级,variant of 合[he2],Group 18
适,適,shì,shi4,2,初等|二级,to fit/suitable/proper/just (now)/comfortable/well/to go/to follow or pursue,Group 18
骑,騎,qí,qi2,2,初等|二级,"to sit astride/to ride (a horse, bike etc)/classifier for saddle horses",Group 18
久,久,jiǔ,jiu3,2,初等|二级,(long) time/(long) duration of time,Group 18
礼,禮,lǐ,li3,2,初等|二级,gift/rite/ceremony/CL:份[fen4]/propriety/etiquette/courtesy,Group 18
湖,湖,hú,hu2,2,初等|二级,"lake/CL:個|个[ge4],片[pian4]",Group 18
随,隨,suí,sui2,2,初等|二级,to follow/to comply with/varying according to.../to allow/subsequently,Group 18
喂,喂餵,wèi,wei4,2,初等|二级,to feed,Group 18
爬,爬,pá,pa2,2,初等|二级,to crawl/to climb/to get up or sit up,Group 18
宜,宜,yí,yi2,2,初等|二级,proper/should/suitable/appropriate,Group 18
处,處,chù,chu4,2,初等|二级,"place/location/spot/point/office/department/bureau/respect/classifier for locations or items of damage: spot, point",Group 18
云,云雲,yún,yun2,2,初等|二级,cloud/CL:朵[duo3],Group 18
铁,鐵,tiě,tie3,2,初等|二级,iron (metal)/arms/weapons/hard/strong/violent/unshakeable/determined/close/tight (slang),Group 18
草,草,cǎo,cao3,2,初等|二级,variant of 肏[cao4],Group 18
业,業,yè,ye4,2,初等|二级,line of business/industry/occupation/job/employment/school studies/enterprise/property/(Buddhism) karma/deed/to engage in/already,Group 18
夏,夏,xià,xia4,2,初等|二级,summer,Group 18
例,例,lì,li4,2,初等|二级,example/precedent/rule/case/instance,Group 19
疼,疼,téng,teng2,2,初等|二级,(it) hurts; sore/to love dearly,Group 19
复,復複,fù,fu4,2,初等|二级,variant of 復|复[fu4]/to reply to a letter,Group 19
晨,晨,chén,chen2,2,初等|二级,morning/dawn/daybreak,Group 19
碗,碗,wǎn,wan3,2,初等|二级,"bowl/cup/CL:隻|只[zhi1],個|个[ge4]",Group 19
碰,碰,pèng,peng4,2,初等|二级,old variant of 碰[peng4],Group 19
姓,姓,xìng,xing4,2,初等|二级,family name/surname/CL:個|个[ge4]/to be surnamed,Group 19
静,靜,jìng,jing4,2,初等|二级,still/calm/quiet/not moving,Group 19
舒,舒,shū,shu1,2,初等|二级,to stretch/to unfold/to relax/leisurely,Group 19
冬,鼕冬,dōng,dong1,2,初等|二级,(onom.) beating a drum/rat-a-tat,Group 19
斤,斤,jīn,jin1,2,初等|二级,"catty/(PRC) weight equal to 500 g/(Tw) weight equal to 600 g/(HK, Malaysia, Singapore) slightly over 604 g",Group 19
于,於于,yú,yu2,2,初等|二级,(of time or place) in; at; on/(indicating any indirect relation) to; toward; vis-à-vis; with regard to; for/(indicating a source) from; out of/(used in comparison) than/(used in the passive voice) by,Group 19
刻,刻,kè,ke4,2,初等|二级,quarter (hour)/moment/to carve/to engrave/to cut/oppressive/classifier for short time intervals,Group 19
熟,熟,shú,shu2,2,初等|二级,ripe; mature/thoroughly cooked; done/familiar; acquainted/experienced; skilled/(of sleep etc) deep; profound/also pr. [shou2],Group 19
温,溫,wēn,wen1,2,初等|二级,warm; lukewarm/to warm up/(bound form) temperature/(bound form) mild; soft; tender/to review (a lesson etc)/(TCM) fever/epidemic; pestilence (old variant of 瘟[wen1]),Group 19
忽,忽,hū,hu1,2,初等|二级,to neglect/to overlook/to ignore/suddenly,Group 19
篮,籃,lán,lan2,2,初等|二级,basket (receptacle)/basket (in basketball),Group 19
阴,陰,yīn,yin1,2,初等|二级,variant of 陰|阴[yin1],Group 19
春,春,chūn,chun1,2,初等|二级,spring (season)/gay/joyful/youthful/love/lust/life,Group 19
餐,餐,cān,can1,2,初等|二级,meal/to eat/classifier for meals,Group 20
共,共,gòng,gong4,2,初等|二级,"common/general/to share/together/total/altogether/abbr. for 共產黨|共产党[Gong4 chan3 dang3], Communist party",Group 20
澡,澡,zǎo,zao3,2,初等|二级,bath,Group 20
凉,涼,liáng,liang2,2,初等|二级,to let sth cool down,Group 20
椅,椅,yǐ,yi3,2,初等|二级,chair,Group 20
脏,髒臟,zàng,zang4,2,初等|二级,dirty/filthy/to get (sth) dirty,Group 20
晴,晴,qíng,qing2,2,初等|二级,clear/fine (weather),Group 20
堂,堂,táng,tang2,2,初等|二级,"(main) hall/large room for a specific purpose/CL:間|间[jian1]/relationship between cousins etc on the paternal side of a family/of the same clan/classifier for classes, lectures etc/classifier for sets of furniture",Group 20
饱,飽,bǎo,bao3,2,初等|二级,to eat till full/satisfied,Group 20
秋,秋,qiū,qiu1,2,初等|二级,see 鞦韆|秋千[qiu1 qian1],Group 20
护,護,hù,hu4,2,初等|二级,to protect,Group 20
印,印,yìn,yin4,2,初等|二级,to print/to mark/to engrave/a seal/a print/a stamp/a mark/a trace/image,Group 20
筷,筷,kuài,kuai4,2,初等|二级,chopstick,Group 20
饺,餃,jiǎo,jiao3,2,初等|二级,dumplings with meat filling,Group 20
典,典,diǎn,dian3,2,初等|二级,canon/law/standard work of scholarship/literary quotation or allusion/ceremony/to be in charge of/to mortgage or pawn,Group 20
板,板闆,bǎn,ban3,2,初等|二级,to catch sight of in a doorway (old),Group 20
王,王,wáng,wang2,2,初等|二级,to rule/to reign over,Group 20
被,被,bèi,bei4,3,初等|三级,"quilt/to cover (with)/(literary) to suffer (a misfortune)/used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb)/(since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅遊|被旅游[bei4 lu:3 you2] to ""go on a trip"", for example)",Group 1
把,把,bǎ,ba3,3,初等|三级,handle,Group 1
并,並併,bìng,bing4,3,初等|三级,variant of 並|并[bing4],Group 1
始,始,shǐ,shi3,3,初等|三级,to begin/to start/then/only then,Group 1
极,極,jí,ji2,3,初等|三级,"extremely/pole (geography, physics)/utmost/top",Group 1
种,種,zhǒng,zhong3,3,初等|三级,to plant/to grow/to cultivate,Group 1
需,需,xū,xu1,3,初等|三级,to require/to need/to want/necessity/need,Group 1
希,希,xī,xi1,3,初等|三级,to hope/to admire/variant of 稀[xi1],Group 1
望,朢望,wàng,wang4,3,初等|三级,15th day of month (lunar calendar)/old variant of 望[wang4],Group 1
况,況,kuàng,kuang4,3,初等|三级,moreover/situation,Group 1
世,世,shì,shi4,3,初等|三级,life/age/generation/era/world/lifetime/epoch/descendant/noble,Group 2
界,界,jiè,jie4,3,初等|三级,(bound form) boundary; border/(bound form) realm,Group 2
内,內,nèi,nei4,3,初等|三级,inside/inner/internal/within/interior,Group 2
每,每,měi,mei3,3,初等|三级,each/every,Group 2
美,美,měi,mei3,3,初等|三级,beautiful/very satisfactory; good/to beautify/to be pleased with oneself,Group 2
继,繼,jì,ji4,3,初等|三级,to continue/to follow after/to go on with/to succeed/to inherit/then/afterwards,Group 2
续,續,xù,xu4,3,初等|三级,to continue/to replenish,Group 2
张,張,zhāng,zhang1,3,初等|三级,"to open up/to spread/sheet of paper/classifier for flat objects, sheet/classifier for votes",Group 2
总,總,zǒng,zong3,3,初等|三级,general; overall/to sum up/in every case; always; invariably/anyway; after all; eventually; sooner or later/surely/(after a person's name) abbr. for 總經理|总经理[zong3 jing1 li3] or 總編|总编[zong3 bian1] etc,Group 2
赛,賽,sài,sai4,3,初等|三级,to compete/competition/match/to surpass/better than/superior to/to excel,Group 2
任,任,rèn,ren4,3,初等|三级,"to assign/to appoint/to take up a post/office/responsibility/to let/to allow/to give free rein to/no matter (how, what etc)/classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)",Group 2
何,何,hé,he2,3,初等|三级,what/how/why/which/carry,Group 2
决,決,jué,jue2,3,初等|三级,to decide/to determine/to execute (sb)/(of a dam etc) to breach or burst/definitely/certainly,Group 2
连,連,lián,lian2,3,初等|三级,"to link/to join/to connect/continuously/in succession/including/(used with 也[ye3], 都[dou1] etc) even/company (military)",Group 2
较,較,jiào,jiao4,3,初等|三级,to compare/to dispute/compared to/(before adj.) relatively/comparatively/rather/also pr. [jiao3],Group 2
城,城,chéng,cheng2,3,初等|三级,"city walls/city/town/CL:座[zuo4],道[dao4],個|个[ge4]",Group 3
式,式,shì,shi4,3,初等|三级,type/form/pattern/style,Group 3
解,解,jiě,jie3,3,初等|三级,acrobatic display (esp. on horseback) (old)/variant of 懈[xie4] and 邂[xie4] (old),Group 3
死,死,sǐ,si3,3,初等|三级,to die/impassable/uncrossable/inflexible/rigid/extremely/damned,Group 3
员,員,yuán,yuan2,3,初等|三级,(bound form) person engaged in a certain field of activity/(bound form) member,Group 3
展,展,zhǎn,zhan3,3,初等|三级,to spread out/to open up/to exhibit/to put into effect/to postpone/to prolong/exhibition,Group 3
支,支,zhī,zhi1,3,初等|三级,"to support/to sustain/to erect/to raise/branch/division/to draw money/classifier for rods such as pens and guns, for army divisions and for songs or compositions",Group 3
持,持,chí,chi2,3,初等|三级,to hold/to grasp/to support/to maintain/to persevere/to manage/to run (i.e. administer)/to control,Group 3
功,功,gōng,gong1,3,初等|三级,meritorious deed or service/achievement/result/service/accomplishment/work (physics),Group 3
此,此,cǐ,ci3,3,初等|三级,this; these,Group 3
社,社,shè,she4,3,初等|三级,(bound form) society; organization; agency/(old) god of the land,Group 3
消,消,xiāo,xiao1,3,初等|三级,to diminish; to subside/to consume; to reduce/to idle away (the time)/(after 不[bu4] or 只[zhi3] or 何[he2] etc) to need; to require; to take,Group 3
强,強,qiáng,qiang2,3,初等|三级,variant of 強|强[qiang3],Group 3
技,技,jì,ji4,3,初等|三级,skill,Group 3
术,術,shù,shu4,3,初等|三级,"various genera of flowers of Asteracea family (daisies and chrysanthemums), including Atractylis lancea",Group 4
切,切,qiè,qie4,3,初等|三级,"definitely; absolutely (not)/(scoffing or dismissive interjection) Yeah, right.; Tut!/to grind/(bound form) close to/(bound form) eager/to correspond to/(used to indicate that the fanqie 反切[fan3 qie4] system should be applied to the previous two characters)",Group 4
调,調,diào,diao4,3,初等|三级,to harmonize/to reconcile/to blend/to suit well/to adjust/to regulate/to season (food)/to provoke/to incite,Group 4
区,區,qū,qu1,3,初等|三级,area/region/district/small/distinguish/CL:個|个[ge4],Group 4
束,束,shù,shu4,3,初等|三级,"to bind/bunch/bundle/classifier for bunches, bundles, beams of light etc/to control",Group 4
存,存,cún,cun2,3,初等|三级,to exist/to deposit/to store/to keep/to survive,Group 4
代,代,dài,dai4,3,初等|三级,to substitute/to act on behalf of others/to replace/generation/dynasty/age/period/(historical) era/(geological) eon,Group 4
整,整,zhěng,zheng3,3,初等|三级,exactly/in good order/whole/complete/entire/in order/orderly/to repair/to mend/to renovate/(coll.) to fix sb/to give sb a hard time/to mess with sb,Group 4
除,除,chú,chu2,3,初等|三级,to get rid of/to remove/to exclude/to eliminate/to wipe out/to divide/except/not including,Group 4
台,台檯臺颱,tái,tai2,3,初等|三级,typhoon,Group 4
按,按,àn,an4,3,初等|三级,to press/to push/to leave aside or shelve/to control/to restrain/to keep one's hand on/to check or refer to/according to/in the light of/(of an editor or author) to make a comment,Group 5
设,設,shè,she4,3,初等|三级,to set up; to put in place/(math.) given; suppose; if,Group 5
